STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
725053,94728, 20130511,   64.4,24,   60.1,24, 1009.5,18, 1004.8,24,   5.8,24,   3.3,21,   7.0, 999.9,   79.0 ,  59.0 , 0.18G,999.9, 110000,
725053,94728, 20130512,   62.6,24,   45.3,24, 1005.9,24, 1001.2,24,   9.4,24,   5.4,24,   9.9,  24.1,   70.0 ,  57.0 , 0.92G,999.9, 010000,
725053,94728, 20130513,   51.7,24,   26.7,24, 1015.4,24, 1010.5,24,  10.0,24,   6.6,23,   9.9,  20.0,   70.0 ,  46.0 , 0.00G,999.9, 000000,
725053,94728, 20130514,   51.1,24,   27.2,24, 1018.8,24, 1013.9,24,  10.0,24,   4.3,22,   8.0, 999.9,   61.0 ,  42.1 , 0.00G,999.9, 000000,
725053,94728, 20130515,   58.0,24,   39.9,24, 1015.4,20, 1008.9,24,   9.7,24,   3.3,21,   8.0,  18.1,   66.9*,  52.0*, 0.00G,999.9, 000000,
725053,94728, 20130516,   69.5,24,   51.0,24, 1007.8,16, 1002.4,24,   9.9,24,   3.3,23,   9.9,  20.0,   79.0 ,  62.1 , 0.00G,999.9, 000000,
725053,94728, 20130517,   66.4,24,   40.2,24, 1015.4,24, 1010.6,24,  10.0,24,   3.0,23,   7.0, 999.9,   79.0 ,  57.9 , 0.00G,999.9, 000000,
725053,94728, 20130518,   61.0,24,   46.6,24, 1024.6,24, 1019.7,24,  10.0,24,   2.2,23,   8.9, 999.9,   72.0 ,  55.9 , 0.00G,999.9, 000000,
725053,94728, 20130519,   57.3,24,   53.4,24, 1025.5,12, 1020.5,24,   5.0,24,   3.6,19,   8.0, 999.9,   64.9 ,  55.0 , 0.10G,999.9, 010000,
725053,94728, 20130520,   65.0,24,   60.0,24, 1018.4,18, 1014.2,24,   4.2,24,   2.0,23,   6.0, 999.9,   79.0 ,  55.0 , 0.51G,999.9, 100000,
725053,94728, 20130521,   75.9,24,   65.2,24, 1013.3,23, 1008.6,24,   7.6,24,   3.6,21,   8.9, 999.9,   86.0 ,  57.9 , 0.00G,999.9, 000000,
725053,94728, 20130522,   71.0,24,   63.4,24, 1011.7,20, 1007.1,24,   6.1,24,   3.7,24,   9.9,  20.0,   86.0 ,  59.0 , 0.00G,999.9, 000000,
725053,94728, 20130523,   71.5,24,   66.2,24, 1011.2,14, 1006.2,24,   6.4,24,   3.9,21,  12.0,  19.0,   80.1 ,  59.0 , 0.00G,999.9, 110000,
